<start> <duration> <pitch> <velocity> <instrument>
20166 163 36 110 2337
20333 163 62 110 284
20333 163 36 110 2337
20333 163 59 110 2337
20499 445 28 110 545
20499 164 40 110 2337
20499 164 64 110 284
20666 163 36 110 2337
20666 163 67 110 284
20666 163 59 110 2337
20833 163 64 110 284
20833 163 36 110 2337
20999 164 40 110 2337
20999 278 28 110 545
20999 164 59 110 2337
20999 164 62 110 284
21166 163 64 110 284
21166 80 40 110 2337
21249 80 40 110 2337
21333 163 40 110 2337
21333 2496 72 110 29
21333 163 57 110 2337
21333 444 29 110 545
21333 163 57 110 284
21499 164 64 110 284
21499 164 36 110 2337
21666 163 62 110 284
21666 163 36 110 2337
21666 163 59 110 2337
21833 444 29 110 545
21833 163 40 110 2337
21833 163 64 110 284
21999 164 36 110 2337
21999 164 67 110 284
21999 164 59 110 2337
22166 163 64 110 284
22166 163 36 110 2337
22333 163 40 110 2337
22333 278 29 110 545
22333 163 59 110 2337
22333 163 62 110 284
22499 164 64 110 284
22499 164 36 110 2337
22666 163 40 110 2337
22666 445 29 110 545
22666 163 59 110 2337
22666 163 57 110 284
22833 163 64 110 284
22833 163 36 110 2337
22999 164 62 110 284
22999 164 36 110 2337
22999 164 59 110 2337
23166 445 29 110 545
23166 163 40 110 2337
23166 163 64 110 284
23333 163 36 110 2337
23333 163 67 110 284
23333 163 59 110 2337
23499 164 64 110 284
23499 164 36 110 2337
23666 163 40 110 2337
23666 278 29 110 545
23666 163 59 110 2337
23666 163 62 110 284
23833 163 36 110 2337
23833 80 69 110 29
23833 163 64 110 284
23916 80 71 110 29
23999 164 40 110 2337
23999 1250 72 110 29
23999 164 59 110 2337
23999 445 29 110 545
23999 164 57 110 284
24166 163 64 110 284
24166 163 36 110 2337
24333 163 62 110 284
24333 163 36 110 2337
24333 163 59 110 2337
24499 445 29 110 545
24499 164 40 110 2337
24499 164 64 110 284
24666 163 36 110 2337
24666 163 67 110 284
24666 163 59 110 2337
24833 163 64 110 284
24833 163 36 110 2337
24999 164 40 110 2337
24999 278 29 110 545
24999 164 59 110 2337
24999 164 62 110 284
25166 163 64 110 284
25166 163 36 110 2337
25333 163 40 110 2337
25333 583 71 110 29
25333 163 59 110 2337
25333 444 31 110 545
25333 163 59 110 284
25499 164 64 110 284
25499 164 36 110 2337
25666 163 62 110 284
25666 163 36 110 2337
25666 163 59 110 2337
25833 444 31 110 545
25833 163 40 110 2337
25833 163 64 110 284
25999 164 36 110 2337
25999 278 72 110 29
25999 164 59 110 2337
25999 164 67 110 284
26166 163 64 110 284
26166 163 36 110 2337
26333 163 40 110 2337
26333 278 74 110 29
26333 163 59 110 2337
26333 278 31 110 545
26333 163 62 110 284
26499 164 64 110 284
26499 80 40 110 2337
26583 80 40 110 2337
26666 163 40 110 2337
26666 2583 76 110 29
26666 163 57 110 2337
26666 445 33 110 545
26666 163 57 110 284
26833 163 64 110 284
26833 163 36 110 2337
26999 164 62 110 284
26999 164 36 110 2337
26999 164 59 110 2337
27166 445 33 110 545
27166 163 40 110 2337
27166 163 64 110 284
27333 163 36 110 2337
27333 163 67 110 284
27333 163 59 110 2337
27499 164 64 110 284
27499 164 36 110 2337
27666 163 40 110 2337
27666 278 33 110 545
27666 163 59 110 2337
27666 163 62 110 284
27833 163 64 110 284
27833 163 36 110 2337
27999 164 40 110 2337
27999 445 33 110 545
27999 164 59 110 2337
27999 164 57 110 284
28166 163 64 110 284
28166 163 36 110 2337
28333 163 62 110 284
28333 163 36 110 2337
28333 163 59 110 2337
28499 445 33 110 545
28499 164 40 110 2337
28499 164 64 110 284
28666 163 36 110 2337
28666 163 67 110 284
28666 163 59 110 2337
28833 163 64 110 284
28833 163 36 110 2337
28999 164 40 110 2337
28999 278 33 110 545
28999 164 59 110 2337
28999 164 62 110 284
29166 163 64 110 284
29166 163 36 110 2337
29333 163 40 110 2337
29333 444 36 110 545
29333 163 59 110 2337
29333 163 60 110 284
29499 164 64 110 284
29499 164 36 110 2337
29666 163 62 110 284
29666 163 36 110 2337
29666 163 59 110 2337
29833 444 36 110 545
29833 163 40 110 2337
29833 163 64 110 284
29999 164 36 110 2337
29999 164 67 110 284
29999 164 59 110 2337
30166 163 64 110 284
30166 163 36 110 2337
30333 163 40 110 2337
30333 278 36 110 545
30333 163 59 110 2337
30333 163 62 110 284
30499 164 64 110 284
30499 164 36 110 2337
30666 163 40 110 2337
30666 445 28 110 545
30666 163 59 110 2337
30666 163 59 110 284
30833 163 64 110 284
30833 163 36 110 2337
30999 164 62 110 284
30999 164 36 110 2337
30999 164 59 110 2337
31166 445 28 110 545
31166 163 40 110 2337
31166 163 64 110 284
31333 163 36 110 2337
31333 163 67 110 284
31333 163 59 110 2337
31499 164 64 110 284
31499 164 36 110 2337
31666 163 40 110 2337
31666 278 28 110 545
31666 163 59 110 2337
31666 163 62 110 284
31833 163 64 110 284
31833 80 40 110 2337
31916 80 40 110 2337
31999 164 40 110 2337
31999 2497 72 110 29
31999 164 57 110 2337
31999 445 33 110 545
31999 164 57 110 284
32166 163 64 110 284
32166 163 36 110 2337
32333 163 62 110 284
32333 163 36 110 2337
32333 163 59 110 2337
32499 445 33 110 545
32499 164 40 110 2337
32499 164 64 110 284
32666 163 36 110 2337
32666 163 67 110 284
32666 163 59 110 2337
32833 163 64 110 284
32833 163 36 110 2337
32999 164 40 110 2337
32999 278 33 110 545
32999 164 59 110 2337
32999 164 62 110 284
33166 163 64 110 284
33166 163 36 110 2337
33333 163 40 110 2337
33333 444 33 110 545
33333 163 59 110 2337
33333 163 57 110 284
33499 164 64 110 284
33499 164 36 110 2337
33666 163 62 110 284
33666 163 36 110 2337
33666 163 59 110 2337
33833 444 33 110 545
33833 163 40 110 2337
33833 163 64 110 284
33999 164 36 110 2337
33999 164 67 110 284
33999 164 59 110 2337
34166 163 64 110 284
34166 163 36 110 2337
34333 163 40 110 2337
34333 278 33 110 545
34333 163 59 110 2337
34333 163 62 110 284
34499 164 36 110 2337
34499 80 69 110 29
34499 164 64 110 284
34583 80 71 110 29
34666 163 40 110 2337
34666 1250 72 110 29
34666 163 59 110 2337
34666 445 36 110 545
34666 163 60 110 284
34833 163 64 110 284
34833 163 36 110 2337
34999 164 62 110 284
34999 164 36 110 2337
34999 164 59 110 2337
35166 445 36 110 545
35166 163 40 110 2337
35166 163 64 110 284
35333 163 36 110 2337
35333 163 67 110 284
35333 163 59 110 2337
35499 164 64 110 284
35499 164 36 110 2337
35666 163 40 110 2337
35666 278 36 110 545
35666 163 59 110 2337
35666 163 62 110 284
35833 163 64 110 284
35833 163 36 110 2337
35999 164 40 110 2337
35999 584 71 110 29
35999 164 59 110 2337
35999 445 28 110 545
35999 164 59 110 284
36166 163 64 110 284
36166 163 36 110 2337
36333 163 62 110 284
36333 163 36 110 2337
36333 163 59 110 2337
36499 445 28 110 545
36499 164 40 110 2337
36499 164 64 110 284
36666 163 36 110 2337
36666 278 67 110 29
36666 163 59 110 2337
36666 163 67 110 284
36833 163 64 110 284
36833 163 36 110 2337
36999 164 40 110 2337
36999 164 64 110 29
36999 164 59 110 2337
36999 278 28 110 545
36999 164 62 110 284
37166 80 40 110 2337
37166 163 67 110 29
37166 163 64 110 284
37249 80 40 110 2337
37333 163 40 110 2337
37333 2583 69 110 29
37333 163 57 110 2337
37333 444 33 110 545
37333 163 57 110 284
37499 164 64 110 284
37499 164 36 110 2337
37666 163 62 110 284
37666 163 36 110 2337
37666 163 59 110 2337
37833 444 33 110 545
37833 163 40 110 2337
37833 163 64 110 284
37999 164 36 110 2337
37999 164 67 110 284
37999 164 59 110 2337
38166 163 64 110 284
38166 163 36 110 2337
38333 163 40 110 2337
38333 278 33 110 545
38333 163 59 110 2337
38333 163 62 110 284
38499 164 64 110 284
38499 164 36 110 2337
38666 163 40 110 2337
38666 445 33 110 545
38666 163 59 110 2337
38666 163 57 110 284
38833 163 64 110 284
38833 163 36 110 2337
38999 164 62 110 284
38999 164 36 110 2337
38999 164 59 110 2337
39166 445 33 110 545
39166 163 40 110 2337
39166 163 64 110 284
39333 163 36 110 2337
39333 163 67 110 284
39333 163 59 110 2337
39499 164 64 110 284
39499 164 36 110 2337
39666 163 40 110 2337
39666 278 33 110 545
39666 163 59 110 2337
39666 163 62 110 284
39833 163 64 110 284
39833 163 36 110 2337
39999 164 40 110 2337
39999 445 36 110 545
39999 164 59 110 2337
39999 164 60 110 284
40166 163 64 110 284
40166 163 36 110 2337
40333 163 62 110 284
40333 163 36 110 2337
40333 163 59 110 2337
40499 445 36 110 545
40499 164 40 110 2337
40499 164 64 110 284
40666 163 36 110 2337
40666 163 67 110 284
40666 163 59 110 2337
40833 163 64 110 284
40833 163 36 110 2337
40999 164 40 110 2337
40999 278 36 110 545
40999 164 59 110 2337
40999 164 62 110 284
41166 163 64 110 284
41166 163 36 110 2337
41333 163 40 110 2337
41333 444 28 110 545
41333 163 59 110 2337
41333 163 59 110 284
41499 164 64 110 284
41499 164 36 110 2337
41666 163 62 110 284
41666 163 36 110 2337
41666 163 59 110 2337
41833 444 28 110 545
41833 163 40 110 2337
41833 163 64 110 284
41999 164 36 110 2337
41999 164 67 110 284
41999 164 59 110 2337
42166 163 64 110 284
42166 163 36 110 2337
42333 163 40 110 2337
42333 278 28 110 545
42333 163 59 110 2337
42333 163 62 110 284
42499 164 64 110 284
42499 80 40 110 2337
42583 80 40 110 2337
42666 163 40 110 2337
42666 2497 72 110 29
42666 163 57 110 2337
42666 445 29 110 545
42666 163 57 110 284
42833 163 64 110 284
42833 163 36 110 2337
42999 164 62 110 284
42999 164 36 110 2337
42999 164 59 110 2337
43166 445 29 110 545
43166 163 40 110 2337
43166 163 64 110 284
43333 163 36 110 2337
43333 163 67 110 284
43333 163 59 110 2337
43499 164 64 110 284
43499 164 36 110 2337
43666 163 40 110 2337
